Id,Designator,Package,Quantity,Designation,Supplier,Part Nr.
8,A1,Arduino_Nano,1,Arduino_Nano_v3.x,IIiiiS,
9,"C1,C4,C5,C9,C10,C11,C14,C15,C16,C17",C_0805_2012Metric,10,C,IIS,
14,C12,C_0805_2012Metric,1,1U,IIS,
15,C13,C_0805_2012Metric,1,100N,IIS,
10,C2,BC 58223,1,22M,IIiS,
11,C3,C_0805_2012Metric,1,100P,IIS,
12,C6,CP_Radial_D6.3mm_P2.50mm,1,1U,IIS,
13,C8,CP_Radial_D8.0mm_P2.50mm,1,CP,IIS,
16,D1,D_SOD-123,1,D Overv,Mouser,863-MMSZ5265BT1G
6,D2,D_SOD-123F,1,Flyback,Mouser,512-SS24FL
7,D3,D_SOD-123F,1,D Sec,Mouser,512-SS24FL
5,D4,D_SOD-123F,1,D Input,Mouser,512-SS24FL
17,D5,LED_0805_2012Metric_Castellated,1,Green,Mouser,859-LTST-C171GKT
18,D6,LED_0805_2012Metric_Castellated,1,Red,Mouser,859-LTST-C171KRKT
4,D7,D_SOD-123,1,D Aux,Mouser,78-BAT54W-HG3-08
19,D8,D_SOD-123,1,10V,Mouser,621-BZT52C10-F
20,J1,TerminalBlock_RND_205-00289_1x04_P5.08mm_Horizontal,1,Power Input,Mouser,651-1987119
21,J2,PinHeader_1x04_P2.54mm_Vertical,1,Speedsensor,IIS,
22,"J3,J4",PinHeader_1x02_P2.54mm_Vertical,2,System Bus,IIS,
1,JP1,PinHeader_1x02_P2.54mm_Vertical,1,ILade,IIS,
23,L1,GK-L01,1,L,IIS,
24,L2,PA582-AL,1,PA6582-AL,Coilcraft,PA6582-AL
25,Q1,TO-252-3_TabPin2,1,Overvoltage,Mouser,512-FQD10N20CTM
26,Q2,TO-263-3_TabPin2,1,CSD19536KTT,Mouser,595-CSD19536KTT
27,Q3,TO-252-3_TabPin2,1,DCDC,Mouser,512-FQD10N20CTM
28,"R1,R5,R8,R9,R11,R12,R14,R17,R18,R19,R20",R_0805_2012Metric,11,R,IIS,
2,R10,R_0805_2012Metric,1,47K,IIS,
33,R13,R_0805_2012Metric,1,1K,IIS,
34,R15,R_1812_4532Metric,1,82m,Mouser,588-KDV12FR082ET
35,R16,R_0805_2012Metric,1,200R,IIS,
29,R2,R_0805_2012Metric,1,100,IIS,
3,R3,R_1812_4532Metric,1,10K,Mouser,667-ERJ-12YJ103U
30,R4,R_1812_4532Metric,1,330R,Mouser,667-ERJ-12YJ331U
31,R6,R_0805_2012Metric,1,70K,IIS,
32,R7,R_0805_2012Metric,1,10K,IIS,
36,"RV1,RV4",Potentiometer_Bourns_3339P_Vertical,1,2K,Mouser,652-3306F-1-202
37,RV2,Potentiometer_Bourns_3339P_Vertical,2,10K,Mouser,652-3306F-1-103
38,RV3,Potentiometer_Bourns_3339P_Vertical,1,20K,Mouser,652-3306P-1-203
39,"SW1,SW2",SW_PUSH_6mm_H7.3mm,2,SW_DIP_x01,IIS,
40,TP2,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,UFreilauf,IIS,
41,U1,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA1678,Mouser,595-OPA1678IDR
42,U2,DPU01,1,DPU01,Mouser,709-DPU01M-12
43,U3,PowerIntegrations_SMD-8,1,IL300,Mouser,782-IL300-X007
44,U4,SOIC-8_3.9x4.9mm_P1.27mm,1,Si8220,Mouser,634-SI8220DB-D-IS
45,U5,S-PDSO-G10,1,TPS4021,Mouser,595-TPS40211DGQR
